#谁，坚韧，耐力，精神，力量，智力
957,0,405,0,0,406
yisheng,339,0,0,341,0
xiao,0,171,0,0,170
ghost,0,0,425,414,0
zhuang,0,330,328,0,0
da,427,0,0,0,420
nana,294,294,0,294,0
nana,156,155,0,0,156
nana,0,424,401,0,0
nana,0,399,405,0,0
nana,0,0,414,0,407
yves,426,0,0,416,0
yves,0,443,434,0,0
yves,396,0,401,0,0
yves,414,405,0,0,0
yves,0,409,0,0,411
yves,408,0,0,0,402
yves,0,0,404,0,414
yves,0,0,376,0,387
yves,0,0,435,435,0
yves,0,433,0,433,0
yves,418,0,0,416,0
yves,424,0,0,0,412
yves,0,0,425,0,424
yves,0,442,426,0,0
yves,408,411,0,0,0
yves,291,0,296,0,291
yves,0,0,431,0,432
